Unicode_Value, Character Name
\U00000560, ARMENIAN SMALL LETTER TURNED AYB
\U00000561, ARMENIAN SMALL LETTER AYB
\U00000562, ARMENIAN SMALL LETTER BEN 
\U00000563, ARMENIAN SMALL LETTER GIM
\U00000564, ARMENIAN SMALL LETTER DA
\U00000565, ARMENIAN SMALL LETTER ECH
\U00000566, ARMENIAN SMALL LETTER ZA
\U00000567, ARMENIAN SMALL LETTER EH
\U00000568, ARMENIAN SMALL LETTER ET
\U00000569, ARMENIAN SMALL LETTER TO
\U0000056A, ARMENIAN SMALL LETTER ZHE
\U0000056B, ARMENIAN SMALL LETTER INI
\U0000056C, ARMENIAN SMALL LETTER LIWN
\U0000056D, ARMENIAN SMALL LETTER XEH
\U0000056E, ARMENIAN SMALL LETTER CA
\U0000056F, ARMENIAN SMALL LETTER KEN
\U00000570, ARMENIAN SMALL LETTER HO
\U00000571, ARMENIAN SMALL LETTER JA
\U00000572, ARMENIAN SMALL LETTER GHAD
\U00000573, ARMENIAN SMALL LETTER CHEH
\U00000574, ARMENIAN SMALL LETTER MEN
\U00000575, ARMENIAN SMALL LETTER YI
\U00000576, ARMENIAN SMALL LETTER NOW
\U00000577, ARMENIAN SMALL LETTER SHA
\U00000578, ARMENIAN SMALL LETTER VO
\U00000579, ARMENIAN SMALL LETTER CHA
\U0000057A, ARMENIAN SMALL LETTER PEH
\U0000057B, ARMENIAN SMALL LETTER JHEH
\U0000057C, ARMENIAN SMALL LETTER RA
\U0000057D, ARMENIAN SMALL LETTER SEH
\U0000057E, ARMENIAN SMALL LETTER VEW
\U0000057F, ARMENIAN SMALL LETTER TIWN
\U00000580, ARMENIAN SMALL LETTER REH
\U00000581, ARMENIAN SMALL LETTER CO
\U00000582, ARMENIAN SMALL LETTER YWIN
\U00000583, ARMENIAN SMALL LETTER PIWR
\U00000584, ARMENIAN SMALL LETTER KEH
\U00000585, ARMENIAN SMALL LETTER OH
\U00000586, ARMENIAN SMALL LETTER FEH
\U00000587, ARMENIAN SMALL LIGATURE ECH YWIN
\U00000588, ARMENIAN SMALL LETTER YI WITH STROKE